OtherName,Name,Vector,Crossings,Mosaic,TileNum
4a_1,4_1,"8,10,10,9,10,7,8",4,5,17
5a_2,5_1,"9,10,10,7,10,10,8",5,5,17
5a_1,5_2,"9,10,10,9,10,7,8",5,5,17
6a_3,6_1,"9,10,10,10,9,9,10",7,5,17
6a_2,6_2,"9,10,10,9,10,10,8",6,5,17
7a_6,7_4,"9,10,10,9,10,10,9",7,5,17
0_1,0_1,"10,10,10,10,10,10,10,7,7,7,7,8",7,6,24
3a_1,3_1,"10,10,10,10,10,7,7,10,7,10,7,7",7,6,24
4a_1,4_1,"10,10,10,10,7,10,7,7,7,8,9,10",7,6,24
5a_1,5_2,"10,10,10,7,7,7,7,10,8,10,9,10",7,6,24
5a_2,5_1,"10,10,10,7,7,7,9,7,8,10,9,10",7,6,24
6a_1,6_3,"10,7,10,7,10,7,7,8,9,10,9,10",7,6,24
6a_2,6_2,"10,7,10,7,7,7,8,10,9,10,9,10",7,6,24
6a_3,6_1,"10,7,10,7,10,7,8,10,8,10,9,10",7,6,24
7a_1,7_7,"10,7,10,7,10,7,7,10,9,10,7,10",7,6,24
7a_2,7_6,"10,7,10,7,10,7,9,10,8,10,7,10",7,6,24
7a_3,7_5,"10,7,10,7,10,7,7,10,9,8,9,10",7,6,24
7a_4,7_2,"10,7,10,7,10,7,9,7,8,10,9,10",7,6,24
7a_5,7_3,"10,7,10,7,10,7,9,7,9,8,9,10",7,6,24
7a_6,7_4,"10,7,10,7,7,9,7,7,9,10,9,10",7,6,24
7a_7,7_1,"10,7,10,7,7,9,9,7,8,10,9,10",7,6,24
8a_11,8_1,"10,7,10,7,10,9,9,7,8,10,9,10",8,6,24
8a_12,8_18,"10,7,10,9,10,7,7,10,9,10,7,10",8,6,24
8a_13,8_5,"10,7,10,8,10,7,9,10,8,10,9,10",8,6,24
8a_14,8_17,"10,7,10,9,10,7,7,10,9,8,9,10",8,6,24
8a_15,8_16,"10,7,10,8,10,7,7,10,9,10,9,10",8,6,24
8a_17,8_4,"10,7,10,7,7,9,9,7,9,10,9,10",8,6,24
